objectid,filename,title,format,description,creator,contributors,date,item_information,subject,location,latitude,longitude,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
qfm001,justasqueerasyou_poster.jpg,Just as Queer as You Poster,image/jpeg,"A homemade poster used in the March on Washington for Lesbian, Gay, and Bi-Equal Rights and Liberation.",Unknown,,1993,poster,LGBTQ; Gay rights; Protest; LGBTQ rights,"Washington, District of Columbia",38.9072,-77.0369,Smithsonian,Smithsonian,,1993.0343.07,justasqueerasyou_poster,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://www.si.edu/termsofuse,Image;StillImage,eng,http://collections.si.edu/search/results.htm?q=record_ID=nmah_1141862&repo=DPLA
qfm002,keepyourlawsoffmybody_flyer.jpg,Keep Your Laws Off My Body flyer,image/jpeg,"Andrew Wood is a graphic designer and gay activist. Born in Atlanta in 1962, the son of two doctors, Wood's early years were filled with art, books, and culture. He attended public schools in Dekalb County and worked in public radio. In 1980, Wood moved to San Francisco for art school and to join the thriving gay organization, the Sisters of Perpetual Indulgence. This charitable group of gay men dressed in nuns habits performed activism and street theater informed with the pagan spirituality of the Radical Faerie movement. While in San Francisco, Wood experienced the AIDS epidemic which caused him to return to Atlanta. After the Democratic National Convention in 1988, he and a handful of fellow protesters started an Atlanta Chapter of ACT/UP. ACT/UP practiced aggressive tactics, civil disobedience, and direct action to bring attention to the plight of AIDS sufferers. Wood moved to New Orleans in 1990 and stayed there until 2004 when he returned to Atlanta to care for his elderly mother. Protest flyer with graphic of a woman surrounded by cherubs with text stating: Keep your laws off my body!","Wood, Andrew P., 1962-",ACT UP Atlanta (Organization),1980,flyer,LGBTQ; Gay Activists; Protest; ACT UP Atlanta (Organization),"Atlanta, Georgia",33.803397,-84.396254,Georgia State University Library,"Andrew P. Wood, Papers, 1987-2014, Gender and Sexuality Collections, Special Collections and Archives, Georgia State University",https://archivesspace.library.gsu.edu/repositories/2/resources/1439,Q121_OS2_006,keepyourlawsoffmybody_flyer,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://digitalcollections.library.gsu.edu/digital/custom/copyright,Image;StillImage,eng,http://digitalcollections.library.gsu.edu/cdm/ref/collection/lgbtq/id/2403
qfm003 ,kissingdoesntkillgreedandindifferencedo_poster.jpg,Kissing Doesn't Kill Greed and Indifference Do poster,image/jpeg,"A poster with kissing couples that reads 'kissing doesn't kill greed and indifference do' with additional text: 'Corporate greed, government inaction, and public indifference make AIDS a political crisis'",Gran Fury (Artists' collective),"Gift of John Lindell, 1990, and Loring McAlpin, 1997",1987-1995,poster,LGBTQ; AIDS (Disease); Political art,"New York, New York",40.753182,-73.982253,The New York Public Library,"Gran Fury Collection, 1987-1995, Manuscripts and Archives Division, The New York Public Library",https://archives.nypl.org/mss/3648,MssCol 3648,kissingdoesntkillgreedandindifferencedo_poster,"In donating this collection to The New York Public Library, Gran Fury declared their works to be in the public domain
",https://www.nypl.org/help/about-nypl/permissions-terms-conditions,Image;StillImage,eng,https://digitalcollections.nypl.org/items/c4788cb0-c6b8-012f-4439-58d385a7bc34#/?uuid=510d47e4-1020-a3d9-e040-e00a18064a99
qfm004,amberhollibaughdiscussionandlecture_flyer.jpg,Amber Hollibough Discussion and Lecture flyer,image/jpeg,A flyer with details for lectures and discussion by Amber Hollibaugh on lesbian sexuality and lesbian denial in the age of AIDS and the gender politics of HIV,Dively Committee, ,1994-11-14,flyer,LGBTQ; AIDS (Disease); HIV-positive women,"Williamstown, Massachusetts",42.713861,-73.201976,Williams College Library,"Davis Center Records, Dively Committee Posters, Williams College Archives & Special Collections Repository",https://archivesspace.williams.edu/repositories/2/archival_objects/275441,DC_2011_004_005,amberhollibaughdiscussionandlecture_flyer,Contact host institution for more information. Contact Archives and Special Collections at archives@williams.edu, ,Image;StillImage,eng,http://unbound.williams.edu/williamsarchives/islandora/object/dively:5
qfm005,artisnotenough_poster.jpg,Art is Not Enough poster,image/jpeg,"A poster that reads 'with 42,000 dead art is not enough take collective direct action to end the AIDS crisis'",Gran Fury (Artists' collective),"Gift of John Lindell, 1990, and Loring McAlpin, 1997",1987-1995,poster,LGBTQ; AIDS (Disease); Political art,"New York, New York",40.753182,-73.982253,The New York Public Library,"Gran Fury Collection, 1987-1995, Manuscripts and Archives Division, The New York Public Library",https://archives.nypl.org/mss/3648,"MssCol 3648, Box 1, Folder 3",artisnotenough_poster,"In donating this collection to The New York Public Library, Gran Fury declared their works to be in the public domain.
",https://www.nypl.org/help/about-nypl/permissions-terms-conditions,Image;StillImage,eng,https://digitalcollections.nypl.org/items/8d6d1080-8181-0137-0afd-151a11fb35f7#/?uuid=510d47e3-5398-a3d9-e040-e00a18064a99
qfm006,jesushadtwodads_poster.jpg,Jesus had two Dads: PRIDE poster,image/jpeg,"A poster that has been drawn with markers that reads 'Jesus had 2 dads, he turned out fine.' ",Unknown,,2007,poster,LGBTQ; Equality; Sexual minorities; Awareness; Sexual orientation; Gay community,"Tallahassee, Florida",30.455000,-84.253334,Florida State University Libraries,"Pride Student Union Records, Florida State University Libraries",https://archives.lib.fsu.edu/repositories/10/resources/612,FSU_HUA_2013-0607_B30_I016,jesushadtwodads_poster,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).,http://rightsstatements.org/vocab/InC/1.0/,Image;StillImage,eng,https://purl.lib.fsu.edu/diginole/FSU_HUA_2013-0607_B30_I016
qfm007,leteverypansybloom_banner.jpg,"""Let Every Pansy Bloom"" banner",image/jpeg,"""Let Every Pansy Bloom"" banner at the San Francisco Gay Freedom Day pride parade. June 25, 1978.",William S. Tom,,1978,photograph,LGBTQ; Gay pride parade; California San Francisco,"San Francisco, California",37.773972,-122.431297,University of Southern California Libraries,"ONE National Gay and Lesbian Archives, University of Southern California Digital Library", ,UC12247128,leteverypansybloom_banner,Image is displayed for education and personal research only. Reuse requires signed permission from ONE Archives and the copyright holder.,http://one.usc.edu/,Image;StillImage,eng,http://doi.org/10.25549/one-c4-182
qfm008,readmylips_poster.jpg,Read My Lips poster,image/jpeg,A poster produced by the Silence=Death project.,Avram Finkelstein,Silence=Death project,1987,poster,LGBTQ; Princeton posters; LGBTQ rights; Gay rights,"Princeton, New Jersey",40.343899,-74.660049,Smithsonian,"National Museum of American History, Smithsonian",,1988.0537.08,readmylips_poster,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://www.si.edu/termsofuse,Image;StillImage,eng,http://collections.si.edu/search/results.htm?q=record_ID=nmah_1051182&repo=DPLA
qfm009,sorrygirlsimgay_poster.jpg,"""Sorry Girls, I'm Gay"" poster",image/jpeg,"""Sorry Girls, I'm Gay"", poster with United States Navy sailor","Hirsch, Leonard; Guest, Barbara; Barna, Joseph T; Guest, Michael E; Rohrbaugh, Richard; Cruse, Howard","Archives Center, National Museum of American History; Gay Officers Action League; Heritage of Pride; Atlantic States Gay Rodeo Association; Becker, John M",2012,poster,LGBTQ; Sexual minorities,"Washington, District of Columbia",38.9072,-77.0369,Smithsonian,"Archives Center Lesbian, Gay, Bisexual, and Transgender (LGBT) Collection, Archives Center, National Museum of American History, Smithsonian Institution", ,AC1146-0000352,sorrygirlsimgay_poster,"Collection items available for reproduction, but the Archives Center makes no guarantees concerning copyright restrictions. Other intellectual property rights may apply.",https://www.si.edu/termsofuse,Image;StillImage,eng,http://collections.si.edu/search/results.htm?q=record_ID=NMAH.AC.1146_ref587&repo=DPLA
qfm010,dyke_button.jpg,Dyke button,image/jpeg,"This item is related to Big Mama Rag, a women’s liberation newspaper founded by a local group of Denver women in 1973, as well as items relating to Woman To Woman Feminist Bookcenter. Object is an ovular pin back button that is lavender rimmed with black on the edge of the button. There is a single line of text in white that looks hand-drawn.",Unknown,Vicki Piotter,1970-1985,button,Lesbian; Feminists; Women's rights; Colorado; LGBTQ,"Denver, Colorado",39.742043,-104.991531,History Colorado,History Colorado,,2021.92.13,dyke_button,Copyright not evaluated.,https://rightsstatements.org/page/CNE/1.0/?language=en,Image;StillImage,eng,https://5008.sydneyplus.com/HistoryColorado_ArgusNet_Final/Portal/Portal.aspx?component=AAFW&record=D74DDD10-472C-48C8-82D8-DBB44C922409
